,0
692,"['Australia:PG', 'France:Tous Public', 'Germany:0', 'Ireland:PG', 'New Zealand:PG', 'Norway:A::(TV rating)', 'United Kingdom:PG', 'United Kingdom:E::(Blu-ray rating)', 'United States:PG']"
693,"['Australia:PG', 'Austria:6', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Germany:6', 'India:U', 'Ireland:PG', 'Italy:T', 'Japan:G', 'New Zealand:PG', 'Portugal:M/12', 'Singapore:PG', 'South Africa:PG', 'South Africa:7-9::(DVD rating)', 'South Korea:All', 'Spain:A::(ICAA)', 'United Kingdom:PG', 'United States:PG']"
694,"['Australia:G', 'Austria:6', 'Denmark:7', 'Finland:K-7', 'France:Tous publics', 'Germany:0', 'Hong Kong:I', 'Ireland:G', 'Italy:T', 'Japan:G', 'Mexico:A', 'Netherlands:6', 'New Zealand:G', 'Norway:A::(DVD rating)', 'Singapore:G', 'South Korea:All', 'Sweden:7', 'Switzerland:0', 'United Kingdom:U', 'United States:G', 'Ukraine:ZA']"
695,"['Argentina:16', 'Australia:M', 'Austria:12', 'Belgium:KT/EA', 'Brazil:14', 'Canada:14A::(Alberta)', 'Canada:14A::(British Columbia)', 'Canada:14A::(Manitoba)', 'Canada:G::(Quebec)', 'Chile:TE+7', 'Colombia:12', 'Denmark:15', 'Ecuador:12', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIB', 'Hungary:16', 'Iceland:16', 'Ireland:15A', 'Ireland:15::(Blu-ray rating)', 'Ireland:15::(DVD rating)', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Luxembourg:12', 'Malta:15', 'Mexico:B15', 'Netherlands:16', 'New Zealand:M', 'Norway:12::(cinema rating)', 'Peru:14', 'Poland:15', 'Portugal:M/14', 'Russia:18+', 'Singapore:M18', 'South Africa:16', 'South Korea:15', 'South Korea:15', 'Spain:12::(ICAA)', 'Sweden:15', 'Switzerland:14', 'Taiwan:R-12', 'United Kingdom:15', 'United Kingdom:15::(Blu-ray rating)', 'United Kingdom:15::(DVD rating)', 'United States:R', 'Ukraine:16']"
696,"['Hong Kong:IIB', 'Singapore:PG13', 'South Korea:12', 'Taiwan:R-12']"
697,"['Australia:PG', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'France:Tous publics', 'Hong Kong:IIA', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Luxembourg:12', 'Malaysia:P13', 'New Zealand:PG', 'Singapore:PG', 'South Africa:PG', 'South Africa:7-9::(DVD rating)', 'United Kingdom:12A', 'United States:PG-13']"
698,"['Australia:PG', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Manitoba)', 'France:Tous publics', 'Germany:Not Rated', 'Hong Kong:IIA', 'India:UA', 'Indonesia:17+', 'Ireland:PG', 'Japan:G', 'Netherlands:6', 'New Zealand:PG', 'Singapore:PG', 'South Africa:7-9', 'South Africa:13::(DVD rating)', 'South Africa:10-12::(DVD)', 'Sweden:15::(self-applied)', 'Switzerland:16', 'United Kingdom:PG', 'United States:Not Rated']"
699,"['Argentina:13', 'Australia:M', 'Austria:14', 'Brazil:14', 'Canada:14A::(Alberta)', 'Canada:14A::(British Columbia)', 'Colombia:12', 'Denmark:11::(DVD rating)', 'Finland:K-12::(DVD rating)', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIB', 'Ireland:15A', 'Italy:T', 'Japan:PG12', 'Mexico:B15', 'Netherlands:12', 'New Zealand:M', 'Norway:12::(cinema rating)', 'Portugal:M/14', 'South Korea:15', 'Spain:12::(ICAA)', 'Sweden:11::(DVD and Blu-ray rating)', 'Switzerland:16', 'Taiwan:R-12', 'United Kingdom:15', 'United States:R', 'Ukraine:16']"
700,"['Singapore:PG', 'Taiwan:GP', 'Thailand:G']"
701,"['Argentina:Atp', 'Australia:M', 'Austria:8', 'Brazil:12', 'Canada:PG', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Canadian Home Video rating)', 'Canada:G::(Quebec)', 'Chile:TE+7', 'Colombia:T', 'Finland:K-7', 'France:Tous publics', 'Germany:6', 'Hong Kong:IIA', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lebanon:(Banned)', 'Lithuania:N-13', 'Luxembourg:6', 'Malaysia:P13', 'Mexico:B', 'Netherlands:6', 'New Zealand:M', 'Norway:12', 'Philippines:PG-13', 'Portugal:M/12', 'Singapore:PG13', 'South Africa:10-12', 'South Africa:13::(DVD rating)', 'Spain:7', 'Sweden:11', 'Switzerland:10', 'Taiwan:PG-12', 'Thailand:13', 'Turkey:7+', 'United Kingdom:12A', 'United States:PG-13', 'Ukraine:12']"
702,"['Argentina:16', 'Australia:MA15+', 'Brazil:14', 'Canada:14A::(Alberta)', 'Canada:14A::(British Columbia)', 'Finland:K-12', 'Germany:16', 'Hong Kong:III', 'Hungary:16', 'Indonesia:17+', 'Ireland:16', 'Italy:T', 'Japan:R15+', 'Malaysia:18', 'Mexico:B15', 'Netherlands:12', 'New Zealand:M', 'Norway:12', 'Portugal:M/14', 'Russia:18+', 'Singapore:R21', 'South Korea:15', 'Spain:12', 'Sweden:11', 'Switzerland:14', 'Taiwan:R-15', 'Turkey:15+', 'United Kingdom:15', 'United States:R', 'Ukraine:16']"
703,"['Argentina:13::(with warning)', 'Australia:M', 'Austria:12', 'Belgium:KT/EA', 'Brazil:12', 'Canada:PG', 'Canada:PG::(Alberta/British Columbia)', 'Canada:14A::(Canadian Home Video rating)', 'Canada:PG::(Manitoba)', 'Canada:14A::(Ontario)', 'Canada:G::(Quebec)', 'Chile:TE+7', 'Colombia:T', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:12', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Luxembourg:12', 'Malaysia:P13', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Nigeria:15', 'Norway:9', 'Philippines:PG-13', 'Portugal:M/12', 'Singapore:NC16', 'South Africa:13', 'South Korea:12', 'Spain:13', 'Sweden:11', 'Switzerland:12', 'Taiwan:PG-12', 'Turkey:13A', 'United Kingdom:12A', 'United Kingdom:12::(DVD rating)', 'United States:PG-13', 'Ukraine:16', 'Vietnam:C13']"
704,"['Australia:PG', 'Austria:8', 'Canada:PG::(Alberta/British Columbia/Manitoba/Saskatchewan)', 'Canada:G::(Ontario/Québec)', 'Chile:TE', 'Colombia:T', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:6', 'Hong Kong:I', 'India:U', 'Ireland:PG', 'Italy:T', 'Japan:G', 'Malaysia:U', 'Malta:PG', 'Mexico:A', 'Netherlands:12', 'New Zealand:PG', 'Norway:9', 'Philippines:PG-13', 'Singapore:PG', 'South Africa:PG', 'South Korea:12', 'Spain:T', 'Sweden:11', 'Switzerland:6', 'Taiwan:GP', 'United Kingdom:PG', 'United States:PG']"
705,"['Argentina:13', 'Australia:M', 'Austria:10', 'Brazil:14', 'Canada:14A::(Alberta)', 'Chile:14', 'Colombia:T', 'France:Tous publics', 'Germany:6', 'Italy:T', 'Japan:R15+', 'Mexico:B15', 'New Zealand:M', 'Norway:12::(VOD rating)', 'Portugal:M/14', 'Singapore:M18', 'Spain:12::(ICAA)', 'Switzerland:10', 'Taiwan:R-15', 'United Kingdom:15', 'Ukraine:16']"
706,"['Argentina:13::(with warning)', 'Australia:M', 'Austria:12', 'Brazil:12', 'Canada:PG::(Alberta/Manitoba)', 'Canada:PG::(British Columbia)', 'Canada:G::(Quebec)', 'Chile:14', 'Colombia:12', 'Czech Republic:12', 'Denmark:11', 'Ecuador:12', 'Finland:K-16', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIB', 'Hungary:12', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Luxembourg:12', 'Malta:12A', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Nigeria:15', 'Norway:12', 'Peru:14', 'Philippines:PG-13', 'Portugal:M/12', 'Singapore:PG13', 'South Africa:13', 'South Korea:12', 'Spain:16::(ICAA)', 'Sweden:11', 'Switzerland:12', 'Taiwan:PG-12', 'Turkey:13+', 'United Kingdom:12A', 'United States:PG-13', 'Ukraine:16']"
707,"['Argentina:13::(with warning)', 'Australia:MA15+', 'Austria:12', 'Brazil:16', 'Canada:14A::(Alberta)', 'Canada:14A::(British Columbia)', 'Canada:14A::(Manitoba)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:12', 'Denmark:7', 'Finland:K-12', 'Germany:12', 'Hong Kong:IIB', 'Indonesia:21+', 'Ireland:16', 'Italy:T', 'Malaysia:(Banned)', 'Mexico:B15', 'Netherlands:12', 'New Zealand:R16', 'Norway:A::(cinema rating)', 'Peru:14', 'Philippines:R-13', 'Portugal:M/14', 'Russia:18+', 'Singapore:NC16', 'South Africa:16', 'South Korea:18', 'Spain:16', 'Sweden:Btl', 'Switzerland:12', 'Taiwan:R-12', 'Turkey:15+', 'United Kingdom:15', 'United States:R', 'Ukraine:16']"
708,"['Australia:M', 'Hong Kong:IIA', 'New Zealand:M', 'South Korea:12', 'United States:PG', 'Vietnam:P']"
709,"['Australia:M', 'Canada:PG::(Alberta)', 'Mexico:B', 'Sweden:15', 'Taiwan:GP']"
710,"['South Korea:15', 'United Kingdom:12A']"
711,"['Argentina:16', 'Australia:MA15+', 'Canada:14A', 'Colombia:12', 'Germany:18', 'India:UA', 'Ireland:16', 'Ireland:15::(DVD rating)', 'Netherlands:16', 'New Zealand:R16', 'Norway:15::(VOD)', 'Portugal:M/14', 'Singapore:NC16', 'South Africa:16', 'South Korea:15', 'United Kingdom:15', 'United States:R']"
712,"['Argentina:Atp', 'Australia:M', 'Austria:0', 'Brazil:12', 'Bulgaria:B', 'Canada:PG::(Alberta/British Columbia/Manitoba)', 'Canada:G::(Quebec)', 'Chile:TE+7', 'Colombia:12', 'Denmark:7', 'Ecuador:12::(Quito)', 'Finland:K-7', 'France:Tous publics', 'Germany:6', 'Iceland:7', 'Ireland:12A', 'Lithuania:N-13', 'Malta:12A', 'Mexico:B', 'Netherlands:6', 'New Zealand:M', 'Nigeria:15', 'Norway:7::(DVD rating)', 'Peru:14', 'Philippines:PG-13', 'Portugal:M/12', 'Puerto Rico:PG-13', 'Romania:A.G.', 'Singapore:PG13', 'Slovakia:12', 'South Africa:13', 'South Korea:12', 'Spain:7::(ICAA)', 'Sweden:7::(DVD rating)', 'Switzerland:8', 'United Kingdom:12A', 'United States:PG-13']"
713,"['Argentina:Atp', 'Australia:PG', 'Austria:6', 'Belgium:KT/EA', 'Brazil:Livre', 'Bulgaria:A', 'Canada:G::(Alberta)', 'Canada:G::(British Columbia)', 'Canada:G::(Manitoba)', 'Canada:G::(Quebec)', 'Chile:TE', 'Colombia:T', 'Czech Republic:U', 'Denmark:7', 'Ecuador:TP', 'Finland:K-7', 'France:Tous publics', 'Germany:0', 'Hong Kong:I', 'Hungary:6', 'Iceland:L', 'India:U', 'Indonesia:SU', 'Ireland:PG', 'Italy:T', 'Japan:G', 'Lithuania:V', 'Luxembourg:A', 'Malaysia:P13', 'Malta:U', 'Mexico:AA', 'Netherlands:6', 'New Zealand:PG', 'Norway:7', 'Peru:Apt', 'Philippines:G', 'Poland:b.o.', 'Portugal:M/6', 'Puerto Rico:PG', 'Russia:6+', 'Serbia:12', 'Singapore:PG', 'South Africa:PG', 'South Korea:All', 'Spain:A/i::(ICAA)', 'Sweden:7', 'Switzerland:0', 'Taiwan:GP', 'Thailand:G', 'United Kingdom:PG', 'United States:PG', 'Ukraine:ZA', 'Vietnam:P']"
714,"['Australia:M', 'Belgium:KT/EA', 'Canada:14A::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:14A::(Manitoba)', 'Canada:PG::(Ontario)', 'Canada:13+::(Quebec)', 'Czech Republic:12', 'France:Tous publics', 'Germany:12', 'India:UA', 'India:UA', 'Indonesia:17+', 'Ireland:15A', 'Italy:T', 'Japan:PG12', 'Luxembourg:12', 'Malaysia:P13', 'Netherlands:12', 'New Zealand:M', 'Nigeria:18', 'Norway:9', 'Singapore:NC16', 'South Africa:16', 'South Africa:18::(video)', 'Sweden:15::(self-applied)', 'United Kingdom:15', 'United States:TV-MA::(Netflix)']"
715,"['Canada:PG::(British Columbia)', 'Hong Kong:IIA', 'Singapore:PG13', 'South Korea:15', 'Taiwan:R-12']"
716,"['Australia:M', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Hong Kong:IIA', 'Indonesia:13+', 'Japan:G', 'New Zealand:M', 'Singapore:PG', 'South Korea:12', 'Taiwan:PG-12', 'United Kingdom:12A', 'United States:Not Rated', 'Vietnam:C13']"
717,"['Argentina:13', 'Australia:M', 'Austria:10', 'Brazil:12', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Manitoba)', 'Canada:G::(Quebec)', 'Chile:TE+7', 'Colombia:T', 'Denmark:11', 'Ecuador:12', 'Finland:K-12', 'France:Tous publics::(DVD rating)', 'Germany:6', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:10', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Lithuania:N-13', 'Malaysia:P13', 'Mexico:A', 'Netherlands:9', 'New Zealand:M', 'Norway:12::(DVD and Blu-ray rating)', 'Peru:14', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Puerto Rico:PG-13', 'Russia:16+', 'Singapore:PG13', 'South Africa:13', 'South Korea:15', 'Spain:7::(ICAA)', 'Sweden:11', 'Switzerland:12', 'Taiwan:PG-12', 'Thailand:13', 'United Kingdom:12A', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C16']"
718,"['Argentina:16', 'Australia:MA15+', 'Brazil:14', 'Bulgaria:C', 'Canada:14A::(Alberta/British Columbia/Manitoba)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:15', 'Czech Republic:15', 'Ecuador:15', 'Ecuador:12::(Guayaquil)', 'Finland:K-12', 'France:13::(self-applied)', 'Germany:12', 'Hungary:16', 'Iceland:16', 'Indonesia:17+', 'Ireland:16', 'Ireland:15::(DVD rating)', 'Italy:T', 'Lithuania:N-16', 'Mexico:B15', 'Netherlands:16', 'New Zealand:R16', 'Peru:14', 'Philippines:R-16', 'Portugal:M/14', 'Russia:18+', 'Singapore:M18', 'South Korea:15', 'Spain:12', 'Sweden:11', 'Taiwan:R-15', 'United Kingdom:15', 'United States:R', 'Ukraine:16']"
719,"['Argentina:16', 'Australia:MA15+', 'Brazil:18', 'Canada:18A::(Alberta/British Columbia/Manitoba/Ontario/Saskatchewan)', 'Canada:13+::(Quebec)', 'Colombia:15', 'Denmark:15::(DVD rating)', 'Finland:K-16::(DVD rating)', 'France:12', 'Germany:16', 'Hong Kong:IIB', 'Ireland:16', 'Italy:T', 'Japan:PG12', 'Mexico:B15::(with warning)', 'Netherlands:16', 'New Zealand:R16', 'Norway:15::(DVD rating)', 'Philippines:R-16', 'Russia:18+', 'Singapore:NC16', 'South Africa:16', 'South Korea:15', 'Spain:Not Rated', 'Sweden:15', 'Taiwan:R-12', 'Turkey:15+', 'United Kingdom:15', 'United States:R', 'Vietnam:C18::(self-rating)']"
720,"['Argentina:13', 'Australia:M', 'Belgium:KT/EA', 'Brazil:14', 'Bulgaria:C', 'Canada:PG::(Alberta/British Columbia/Manitoba/Saskatchewan)', 'Canada:G::(Quebec)', 'Chile:TE', 'Colombia:7', 'Denmark:11', 'Ecuador:TP::(Guayaquil)', 'Ecuador:12::(Quito)', 'Finland:K-12', 'France:Tous Public', 'Germany:12', 'Hungary:16', 'Iceland:12', 'India:A', 'Indonesia:13+', 'Ireland:15A', 'Italy:T', 'Japan:G', 'Malaysia:P13', 'Malta:12A', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:9::(DVD and Bluray rating)', 'Peru:14', 'Portugal:M/14', 'Puerto Rico:PG-13', 'Singapore:PG13', 'South Africa:13', 'South Korea:12', 'Spain:12::(ICAA)', 'Sweden:11', 'Sweden:7::(DVD and Blu-ray rating)', 'Taiwan:R-12', 'Thailand:13', 'United Kingdom:12A', 'United Kingdom:12::(DVD rating)', 'United States:PG-13']"
721,"['Australia:M', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Hong Kong:IIA', 'New Zealand:M', 'Singapore:PG', 'South Korea:12', 'Taiwan:PG-12', 'United Kingdom:12A', 'United States:Not Rated']"
722,['Australia:M']
723,"['Argentina:13', 'Australia:M', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Chile:TE', 'Colombia:12', 'Germany:12', 'Hong Kong:IIA', 'Indonesia:17+', 'Ireland:15A', 'Japan:G', 'Mexico:B', 'New Zealand:M', 'Philippines:PG-13', 'Singapore:PG13', 'South Korea:12', 'Taiwan:R-12', 'United Kingdom:15', 'United States:TV-14']"
724,"['Australia:M', 'Brazil:12', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:14+::(tv rating)', 'Denmark:15::(DVD rating)', 'Finland:K-12::(DVD rating)', 'Germany:12', 'Ireland:12A', 'Netherlands:6', 'New Zealand:M', 'Norway:15::(DVD rating)', 'Portugal:M/12', 'Singapore:PG', 'Singapore:PG13::(VOD)', 'South Korea:12', 'Sweden:15::(DVD rating)', 'United Kingdom:12A', 'United States:PG-13']"
725,"['Argentina:13', 'Australia:M', 'Austria:12', 'Belgium:KT/EA', 'Brazil:12', 'Bulgaria:C', 'Canada:PG::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:PG::(Manitoba)', 'Canada:13+::(Quebec)', 'Chile:TE+7', 'Colombia:7', 'Czech Republic:12', 'Denmark:11', 'Ecuador:12::(Guayaquil)', 'Ecuador:TP::(Loja)', 'Ecuador:12::(Quito)', 'Finland:K-12', 'France:Tous publics avec avertissement', 'Germany:12', 'Greece:K-12', 'Hong Kong:IIA', 'Hungary:16', 'Iceland:12', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Luxembourg:12', 'Malaysia:P13', 'Maldives:15+', 'Malta:12A', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Nigeria:15', 'Norway:12::(cinema rating)', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Puerto Rico:PG-13', 'Russia:16+', 'Singapore:PG13', 'Slovakia:12', 'South Africa:13', 'South Africa:10-12::(DVD rating)', 'South Korea:12', 'Spain:12::(ICAA)', 'Sweden:11', 'Switzerland:12', 'Taiwan:PG-12', 'Thailand:G', 'Turkey:13+', 'United Kingdom:12A', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C16']"
726,"['Austria:8', 'Germany:6', 'Norway:7::(recommended rating)', 'Singapore:M18', 'Switzerland:6']"
727,"['Australia:PG', 'Canada:G::(Alberta)', 'Canada:G::(British Columbia)', 'Hong Kong:IIA', 'India:U', 'Indonesia:13+', 'Ireland:12A', 'New Zealand:M', 'Nigeria:PG', 'Norway:A', 'Singapore:PG13', 'South Africa:10-12', 'South Korea:12', 'United Kingdom:12A', 'United States:PG']"
728,"['Argentina:Atp', 'Australia:PG', 'Brazil:Livre', 'Canada:PG::(Alberta)', 'Canada:G::(British Columbia)', 'Chile:TE', 'Colombia:T', 'France:Tous Public', 'Germany:6', 'Hong Kong:I', 'Indonesia:SU', 'Ireland:PG', 'Italy:T', 'Japan:G', 'Mexico:A', 'New Zealand:PG', 'Norway:7::(TV rating)', 'Singapore:PG', 'South Korea:All', 'Spain:A', 'Sweden:7::(self-applied)', 'Taiwan:GP', 'United Kingdom:PG', 'United States:Not Rated::(DVD and Blu-ray rating)', 'United States:TV-Y7::(FV, TV rating)', 'United States:PG', 'Vietnam:P']"
729,"['Australia:E', 'India:UA', 'United States:Not Rated']"
730,"['Argentina:13::(with warning)', 'Australia:M', 'Brazil:14', 'Canada:PG::(British Columbia)', 'France:Tous publics', 'Germany:Not Rated', 'Italy:T', 'Japan:G', 'Mexico:B', 'Netherlands:AL', 'New Zealand:M', 'Norway:9', 'Portugal:M/14', 'Singapore:PG13', 'Spain:7::(ICAA)', 'Sweden:11', 'Switzerland:16', 'Taiwan:GP', 'Turkey:7+', 'United Kingdom:15']"
731,"['Australia:MA15+', 'Austria:16', 'Belgium:KNT/ENA', 'Brazil:16', 'Canada:14A::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:14A::(Canadian Home Video rating)', 'Canada:13+::(Quebec)', 'Denmark:15', 'Finland:K-16', 'France:12', 'Germany:16', 'Hong Kong:IIB', 'Hungary:16', 'Indonesia:17+', 'Ireland:16', 'Ireland:15::(DVD rating)', 'Italy:VM14', 'Lithuania:N-16', 'Luxembourg:16', 'Malaysia:18', 'Mexico:B15', 'Netherlands:16', 'New Zealand:R16', 'Nigeria:18', 'Norway:15', 'Philippines:R-16', 'Portugal:M/16', 'Russia:18+', 'Singapore:NC16', 'South Africa:16', 'South Korea:15', 'Spain:16', 'Sweden:15::(DVD and Blu-ray rating)', 'Switzerland:16', 'Taiwan:R-15', 'Turkey:15+', 'United Kingdom:15', 'United States:R', 'Ukraine:16', 'Vietnam:C18']"
732,"['Argentina:13::(with warning)', 'Australia:M', 'Austria:14', 'Brazil:14', 'Canada:14A::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:12', 'Finland:K-16', 'France:12', 'Germany:16', 'Hong Kong:IIB', 'India:A', 'Indonesia:13+', 'Ireland:15A', 'Italy:VM14', 'Italy:T::(home-video relase)', 'Japan:G', 'Lithuania:N-13', 'Luxembourg:16', 'Malaysia:P13', 'Maldives:18+', 'Malta:15', 'Mexico:B', 'Netherlands:16', 'New Zealand:M', 'Norway:15::(cinema rating)', 'Philippines:R-13', 'Poland:15', 'Portugal:M/16', 'Portugal:M/14::(Netflix rating and itunes tv rating)', 'Russia:16+', 'Singapore:PG13', 'South Africa:16', 'South Korea:15', 'Spain:16', 'Switzerland:14', 'Taiwan:R-12', 'Thailand:15', 'Turkey:15+', 'United Kingdom:15', 'United States:PG-13', 'Ukraine:16', 'Vietnam:C16']"
733,"['Argentina:13', 'Australia:PG', 'Brazil:10', 'Canada:PG::(Alberta)', 'Chile:TE+7', 'Colombia:12', 'Germany:12', 'Ireland:PG', 'Mexico:A', 'New Zealand:M', 'South Korea:12', 'Spain:7::(ICAA)', 'United Kingdom:PG', 'United States:PG']"
734,"['Australia:MA15+', 'Canada:14A::(Alberta)', 'Canada:14A::(British Columbia)', 'Hong Kong:IIB', 'Ireland:15A', 'Japan:G', 'New Zealand:RP13', 'Singapore:NC16', 'South Korea:15', 'United Kingdom:15']"
735,0
736,"['Argentina:16', 'Australia:MA15+', 'Austria:14', 'Belgium:KT/EA', 'Brazil:16', 'Canada:14A', 'Canada:14A::(Alberta)', 'Canada:14A::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:14A::(British Columbia)', 'Canada:14A::(Canadian Home Video rating)', 'Canada:14A::(Manitoba)', 'Canada:14A::(Ontario)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:15', 'Denmark:11', 'Finland:K-16', 'France:Tous publics avec avertissement', 'Germany:16', 'Hong Kong:IIB', 'Hungary:16', 'India:A', 'Indonesia:17+', 'Ireland:15A', 'Italy:T', 'Japan:R15+', 'Lithuania:N-13', 'Luxembourg:16', 'Malaysia:18', 'Mexico:B15', 'Netherlands:16', 'New Zealand:R16', 'Nigeria:18', 'Norway:15::(cinema rating)', 'Philippines:R-13', 'Portugal:M/14', 'Singapore:NC16', 'South Africa:16', 'South Korea:15', 'Spain:16', 'Sweden:15', 'Switzerland:14', 'Taiwan:R-12', 'Thailand:15', 'Turkey:15+', 'United Kingdom:15', 'United States:R', 'Ukraine:16', 'Vietnam:C18']"
737,"['Australia:MA15+', 'Canada:14A::(Alberta/British Columbia/Manitoba)', 'Canada:13+::(Quebec)', 'Finland:K-16', 'Germany:16', 'India:A', 'Ireland:16', 'New Zealand:R13', 'Nigeria:15', 'Peru:14', 'Portugal:M/16', 'Puerto Rico:PG-13', 'Singapore:PG13', 'South Africa:13', 'South Africa:16::(DVD rating)', 'South Korea:15', 'Spain:16::(ICAA)', 'Sweden:15', 'United Kingdom:15', 'United States:PG-13', 'Vietnam:C18']"
738,"['Australia:M', 'Canada:PG::(British Columbia)', 'Finland:S::(TV)', 'New Zealand:M', 'Norway:A::(recommended rating)', 'South Korea:12', 'United States:Not Rated']"
739,"['Argentina:13', 'Australia:MA15+', 'Belgium:KT/EA', 'Brazil:16', 'Canada:14A::(British Columbia)', 'Canada:14A::(Ontario)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:15', 'Ecuador:12::(Guayaquil)', 'Ecuador:15::(Quito)', 'Finland:K-16', 'France:Tous publics avec avertissement', 'Germany:16', 'Hong Kong:IIB', 'Hungary:16', 'India:A', 'Indonesia:17+', 'Ireland:16', 'Israel:16', 'Italy:VM14', 'Japan:PG12', 'Luxembourg:12', 'Malaysia:18', 'Mexico:B15', 'Netherlands:16', 'New Zealand:R13', 'Norway:15::(cinema rating)', 'Philippines:R-13', 'Portugal:M/14', 'Russia:18+', 'Singapore:M18', 'South Korea:15', 'Spain:16::(ICAA)', 'Sweden:15', 'Switzerland:14', 'Taiwan:R-12', 'Thailand:15', 'United Kingdom:15', 'United States:R', 'Ukraine:16', 'Vietnam:C18']"
740,"['Australia:M', 'Germany:6', 'Japan:G', 'Netherlands:6', 'Philippines:PG-13', 'South Korea:12', 'United Kingdom:12', 'United States:PG-13::(certificate 51193)']"
741,"['Argentina:16', 'Australia:M', 'Austria:14', 'Brazil:14', 'Canada:14A::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:15', 'Czech Republic:12', 'Finland:K-16', 'France:12', 'Germany:16', 'Hong Kong:IIB', 'Hong Kong:III', 'Hungary:16', 'India:A', 'Indonesia:17+', 'Ireland:15A', 'Italy:T', 'Italy:VM12::(TV rating)', 'Lithuania:N-13', 'Luxembourg:16', 'Malaysia:18', 'Maldives:18+', 'Malta:15', 'Mexico:B', 'Netherlands:16', 'New Zealand:M', 'New Zealand:R13', 'Norway:15', 'Philippines:R-13', 'Poland:16', 'Portugal:M/16', 'Russia:16+', 'Singapore:NC16', 'South Africa:16', 'South Korea:15', 'South Korea:18::(DVD rating)', 'Spain:16::(ICAA)', 'Switzerland:14', 'Taiwan:R-15', 'Thailand:18', 'Turkey:15+', 'United Kingdom:15', 'United Kingdom:Unrated', 'United States:PG-13', 'United States:R', 'Ukraine:16']"
742,"['Australia:M', 'Austria:12', 'Brazil:14', 'Canada:PG::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:PG::(Canadian Home Video rating)', 'Canada:G::(Quebec)', 'France:Tous publics', 'Germany:12', 'India:UA', 'Ireland:12A', 'Ireland:15', 'Italy:T', 'Lithuania:N-13', 'Luxembourg:12', 'Netherlands:12', 'New Zealand:M', 'Nigeria:12A', 'Norway:9', 'Philippines:R-13', 'Portugal:M/12', 'Singapore:PG13', 'Singapore:NC16', 'South Africa:16', 'South Korea:15', 'Spain:12::(ICAA)', 'Sweden:7', 'Switzerland:12', 'United Kingdom:12A', 'United Kingdom:15', 'United Kingdom:15', 'United States:PG-13']"
743,"['Canada:PG::(British Columbia)', 'United States:Not Rated']"
