,tconst,primary_title,original_title,start_year,runtime_minutes,genres,actor,actress,composer,director,editor,producer,writer,movrating,r males,r females,r imdb users,r aged 18 29,r aged 30 44,r males aged 18 29,r males aged 30 44,r females aged 18 29,r top 1000 voters,r us users,r non us users,budget,global_gross,budget_inmil,gross_inmil,profit_ratio
208,tt2679042,Hitman: Agent 47,Hitman: Agent 47,2015,96.0,"Action,Adventure,Crime","nm1670029, nm0704270, nm0001354",nm3799669,,nm5507490,,nm1457858,"nm0940790, nm3360218, nm0412282, nm2288699",R,5.7,6.1,5.7,5.8,5.6,5.7,5.6,6.2,5.3,5.7,5.6,35000000,82347656,35.0,82.347656,2.3527901714285715
209,tt2704998,Game Night,Game Night,2018,100.0,"Action,Comedy,Crime","nm0000867, nm0151419","nm1046097, nm1279721",,"nm0197855, nm0326246",,"nm1907858, nm0204862, nm2470810",nm0991423,R,6.9,7.0,6.9,7.1,6.8,7.1,6.8,7.0,6.8,7.1,6.8,37000000,117679066,37.0,117.679066,3.1805152972972976
210,tt2709692,The Grinch,The Grinch,2018,85.0,"Animation,Comedy,Family","nm1212722, nm1214289","nm7372981, nm0429069",,"nm0155528, nm0608714",,nm0372329,"nm1942829, nm0842476, nm0317450",PG,6.2,6.7,6.3,6.3,6.3,6.1,6.2,6.7,5.4,6.2,6.2,75000000,511565348,75.0,511.565348,6.820871306666667
211,tt2709768,The Secret Life of Pets,The Secret Life of Pets,2016,87.0,"Adventure,Animation,Comedy","nm0127373, nm0832314, nm0366389",nm1128572,,"nm0155528, nm0719208",,nm0372329,"nm0666791, nm0202425, nm0528244",PG,6.5,6.8,6.5,6.6,6.5,6.5,6.4,6.8,6.3,6.5,6.5,75000000,875457937,75.0,875.457937,11.672772493333333
212,tt2719848,Everest,Everest,2015,121.0,"Action,Adventure,Biography","nm0164809, nm7583273, nm0942876, nm0376540",,,nm0466349,,"nm0271479, nm0055717, nm0079677","nm0629933, nm0064479",PG-13,7.0,7.2,7.1,7.2,7.0,7.1,7.0,7.3,6.6,7.0,7.0,55000000,202394678,55.0,202.394678,3.679903236363636
213,tt2726560,The Longest Ride,The Longest Ride,2015,123.0,"Drama,Romance","nm2207222, nm0000257, nm1658935",nm1429380,,nm0863387,,"nm4517772, nm2125212, nm0324041","nm0817023, nm0093271",PG-13,6.9,7.3,7.1,7.2,6.9,7.1,6.7,7.4,5.8,6.9,6.9,34000000,63802928,34.0,63.802928,1.876556705882353
214,tt2763304,T2 Trainspotting,T2 Trainspotting,2017,117.0,Drama,"nm0000191, nm0001971, nm0001538, nm0001015",,,nm0000965,,"nm0531602, nm0068925, nm1384503","nm0388076, nm0920543",R,7.2,7.3,7.2,7.4,7.1,7.4,7.1,7.5,6.5,7.1,7.1,18000000,42091497,18.0,42.091497,2.3384164999999997
215,tt2771200,Beauty and the Beast,Beauty and the Beast,2017,129.0,"Family,Fantasy,Musical","nm1405398, nm1812656, nm1265802",nm0914612,,nm0174374,,,"nm3343855, nm0154716, nm0818746, nm0941314, nm0207305",PG,6.9,7.6,7.1,7.2,7.0,6.9,6.8,7.6,6.4,7.3,7.0,160000000,1263521126,160.0,1263.521126,7.897007037500001
216,tt2788732,Pete's Dragon,Pete's Dragon,2016,102.0,"Action,Adventure,Comedy","nm0000602, nm4625502","nm0397171, nm4802218",,nm1108007,,nm0924270,"nm2021909, nm0549393, nm0589316, nm0276039",PG,6.6,6.9,6.7,6.8,6.6,6.7,6.6,6.9,6.4,6.9,6.6,65000000,143695338,65.0,143.695338,2.2106975076923074
217,tt2820852,Furious 7,Furious Seven,2015,137.0,"Action,Crime,Thriller","nm0004874, nm0908094, nm0425005, nm0005458",,nm0003911,nm1490123,,"nm0288202, nm0605775","nm0604555, nm0860155",PG-13,7.1,7.6,7.1,7.4,7.0,7.3,6.9,7.8,6.3,7.2,6.9,190000000,1516045911,190.0,1516.045911,7.979189005263158
